task,llm,strategy,repetition,m1_executability,m3a_case_coverage,m3b_activity_coverage,m3c_row_ratio,m4a_jaccard,m4b_trace_sim,m5_mean_std
t4,claude,few_shot,1,,1.0,0.0265,,0.0133,,
t4,claude,few_shot,2,,1.0,0.0265,,0.0133,,
t4,claude,few_shot,3,,1.0,0.0265,,0.0133,,
t4,llama3,naive,1,,0.0,0.0,0.0,0.0,,
t4,llama3,naive,2,,0.0,0.0,0.0,0.0,,
t4,llama3,naive,3,,0.0,0.0,0.0,0.0,,
t4,llama3,zero_shot,1,,1.0,0.0,,0.0,,
t4,llama3,zero_shot,2,,0.0,0.0,0.0,0.0,,
t4,llama3,zero_shot,3,,0.0,0.0,0.0,0.0,,
t4,llama3,schema_aware,1,,0.0,0.0,0.0,0.0,,
t4,llama3,schema_aware,2,,0.0,0.0,0.0,0.0,,
t4,llama3,schema_aware,3,,0.0,0.0,0.0,0.0,,
t4,llama3,few_shot,1,,0.0,0.0,0.0,0.0,,
t4,llama3,few_shot,2,,1.0,0.0,,0.0,,
t4,llama3,few_shot,3,,1.0,0.0,,0.0,,
t5,gpt4o,naive,1,,0.0,0.0,0.0,0.0,,
t5,gpt4o,naive,2,,0.0,0.0,0.0,0.0,,
t5,gpt4o,naive,3,,0.0,0.0,0.0,0.0,,
t5,gpt4o,zero_shot,1,,1.0,0.0005,0.9679,0.0005,,
t5,gpt4o,zero_shot,2,,1.0,0.0005,0.9679,0.0005,,
t5,gpt4o,zero_shot,3,,1.0,0.0005,0.9679,0.0005,,
t5,gpt4o,schema_aware,1,,1.0,0.0005,0.9789,0.0005,,
t5,gpt4o,schema_aware,2,,1.0,0.0005,0.9789,0.0005,,
t5,gpt4o,schema_aware,3,,1.0,0.0005,0.9789,0.0005,,
t5,gpt4o,few_shot,1,,1.0,0.0005,0.9789,0.0005,,
t5,gpt4o,few_shot,2,,1.0,0.0005,1.1192,0.0005,,
t5,gpt4o,few_shot,3,,1.0,0.0005,0.9789,0.0005,,
t5,claude,naive,1,,0.0,0.0,-0.0,0.0,,
t5,claude,naive,2,,0.0,0.0,0.0,0.0,,
t5,claude,naive,3,,0.0,0.0,-0.0,0.0,,
t5,claude,zero_shot,1,,1.0,0.0005,0.9803,0.0005,,
t5,claude,zero_shot,2,,1.0,0.0005,0.9803,0.0005,,
t5,claude,zero_shot,3,,1.0,0.0005,0.9803,0.0005,,
t5,claude,schema_aware,1,,1.0,0.0005,0.9789,0.0005,,
t5,claude,schema_aware,2,,1.0,0.0005,0.9789,0.0005,,
t5,claude,schema_aware,3,,1.0,0.0005,0.9789,0.0005,,
t5,claude,few_shot,1,,1.0,0.0005,0.9789,0.0005,,
t5,claude,few_shot,2,,1.0,0.0005,0.9789,0.0005,,
t5,claude,few_shot,3,,1.0,0.0005,0.9789,0.0005,,
t5,llama3,naive,1,,0.0,0.0,0.0,0.0,,
t5,llama3,naive,2,,0.0,0.0,0.0,0.0,,
t5,llama3,naive,3,,0.0,0.0,0.0,0.0,,
t5,llama3,zero_shot,1,,1.0,0.0005,4.475,0.0005,,
t5,llama3,zero_shot,2,,1.0,0.0005,4.475,0.0005,,
t5,llama3,zero_shot,3,,1.0,0.0005,4.475,0.0005,,
t5,llama3,schema_aware,1,,1.0,0.0005,0.9789,0.0005,,
t5,llama3,schema_aware,2,,1.0,0.0005,0.9789,0.0005,,
t5,llama3,schema_aware,3,,1.0,0.0005,0.9789,0.0005,,
t5,llama3,few_shot,1,,1.0,0.0005,0.9789,0.0005,,
t5,llama3,few_shot,2,,1.0,0.0005,0.9789,0.0005,,
t5,llama3,few_shot,3,,1.0,0.0005,0.9789,0.0005,,
t6,gpt4o,naive,1,0,0.0,0.0,0.0,0.0,,0.3311
t6,gpt4o,naive,2,1,0.3227,0.0,0.0065,0.0,,0.3311
t6,gpt4o,naive,3,1,0.3227,0.0,0.0065,0.0,,0.3311
t6,gpt4o,zero_shot,1,1,1.0,0.0011,4.1288,0.0004,,0.3311
t6,gpt4o,zero_shot,2,1,1.0,0.0011,4.1288,0.0004,,0.3311
t6,gpt4o,zero_shot,3,1,1.0,0.0011,4.1288,0.0004,,0.3311
t6,gpt4o,schema_aware,1,1,1.0,0.0011,4.1288,0.0004,,0.3311
t6,gpt4o,schema_aware,2,1,1.0,0.0011,4.1288,0.0004,,0.3311
t6,gpt4o,schema_aware,3,1,1.0,0.0011,4.1288,0.0004,,0.3311
t6,gpt4o,few_shot,1,1,1.0,1.0,4.1288,0.5321,,0.3311
t6,gpt4o,few_shot,2,1,1.0,1.0,4.1288,0.5321,,0.3311
t6,gpt4o,few_shot,3,1,1.0,1.0,4.1288,0.5321,,0.3311
t6,claude,naive,1,1,0.0,0.0,0.0202,0.0,,0.375
t6,claude,naive,2,1,0.0,0.0,0.0202,0.0,,0.375
t6,claude,naive,3,1,0.0,0.0,0.0202,0.0,,0.375
t6,claude,zero_shot,1,1,1.0,1.0,1.0,1.0,,0.375
t6,claude,zero_shot,2,1,1.0,1.0,1.0,1.0,,0.375
t6,claude,zero_shot,3,1,1.0,1.0,1.0,1.0,,0.375
t6,claude,schema_aware,1,1,1.0,1.0,1.0,1.0,,0.375
t6,claude,schema_aware,2,1,1.0,1.0,1.0,1.0,,0.375
t6,claude,schema_aware,3,1,1.0,1.0,1.0,1.0,,0.375
t6,claude,few_shot,1,1,1.0,1.0,1.0,1.0,,0.375
t6,claude,few_shot,2,1,1.0,1.0,1.0,1.0,,0.375
t6,claude,few_shot,3,1,1.0,1.0,1.0,1.0,,0.375
t6,llama3,naive,1,0,0.0,0.0,0.0,0.0,,0.4414
t6,llama3,naive,2,0,0.0,0.0,0.0,0.0,,0.4414
t6,llama3,naive,3,0,0.0,0.0,0.0,0.0,,0.4414
t6,llama3,zero_shot,1,1,1.0,0.0011,1.0,0.0006,,0.4414
t6,llama3,zero_shot,2,1,1.0,0.0011,1.0,0.0006,,0.4414
t6,llama3,zero_shot,3,1,1.0,0.0011,1.0,0.0006,,0.4414
t6,llama3,schema_aware,1,1,1.0,0.0011,1.0,0.0006,,0.4414
t6,llama3,schema_aware,2,1,1.0,0.0011,1.0,0.0006,,0.4414
t6,llama3,schema_aware,3,1,1.0,0.0011,4.1288,0.0004,,0.4414
t6,llama3,few_shot,1,1,1.0,1.0,4.1288,0.5321,,0.4414
t6,llama3,few_shot,2,1,1.0,1.0,4.1288,0.5321,,0.4414
t6,llama3,few_shot,3,1,1.0,1.0,4.1288,0.5321,,0.4414
