task,task_label,llm,llm_label,strategy,strategy_label,m1_avg,m1_pass,m1_total,m3a_avg,m3b_avg,m3c_avg,m4a_avg,m4b_avg,m5
t2,Medication Admin.,llama3,Llama 3 70B,schema_aware,Schema-aware,0.3333,1,3,0.3333,0.0,0.3532,0.0,,0.0963
t2,Medication Admin.,llama3,Llama 3 70B,few_shot,Few-shot,0.0,0,3,0.0,0.0,0.0,0.0,,0.0963
t3,Sepsis Trajectory,gpt4o,GPT-4o,naive,Naive,1.0,3,3,0.3333,0.0,0.0002,0.0,,0.1666
t3,Sepsis Trajectory,gpt4o,GPT-4o,zero_shot,Zero-shot,1.0,3,3,1.0,0.0,3.1366,0.0,,0.1666
t3,Sepsis Trajectory,gpt4o,GPT-4o,schema_aware,Schema-aware,1.0,3,3,1.0,0.0,5.1052,0.0,,0.1666
t3,Sepsis Trajectory,gpt4o,GPT-4o,few_shot,Few-shot,1.0,3,3,1.0,0.0,2.8256,0.0,,0.1666
t3,Sepsis Trajectory,claude,Claude Sonnet,naive,Naive,1.0,3,3,0.0,0.0,1.4388,0.0,,0.1182
t3,Sepsis Trajectory,claude,Claude Sonnet,zero_shot,Zero-shot,1.0,3,3,1.0,0.0,2.2837,0.0,,0.1182
t3,Sepsis Trajectory,claude,Claude Sonnet,schema_aware,Schema-aware,1.0,3,3,0.5931,0.0,1.1141,0.0,,0.1182
t3,Sepsis Trajectory,claude,Claude Sonnet,few_shot,Few-shot,1.0,3,3,1.0,0.0,2.9851,0.0,,0.1182
t3,Sepsis Trajectory,llama3,Llama 3 70B,naive,Naive,0.0,0,3,0.0,0.0,0.0,0.0,,0.25
t3,Sepsis Trajectory,llama3,Llama 3 70B,zero_shot,Zero-shot,1.0,3,3,1.0,0.0,2.738,0.0,,0.25
t3,Sepsis Trajectory,llama3,Llama 3 70B,schema_aware,Schema-aware,1.0,3,3,1.0,0.0,2.8256,0.0,,0.25
t3,Sepsis Trajectory,llama3,Llama 3 70B,few_shot,Few-shot,1.0,3,3,1.0,0.0,2.8256,0.0,,0.25
t4,Lab-Order Cycle,gpt4o,GPT-4o,naive,Naive,0.6667,2,3,0.0,0.0,0.0,0.0,,0.1667
t4,Lab-Order Cycle,gpt4o,GPT-4o,zero_shot,Zero-shot,0.6667,2,3,1.0,0.0,,0.0,,0.1667
t4,Lab-Order Cycle,gpt4o,GPT-4o,schema_aware,Schema-aware,1.0,3,3,1.0,0.0,,0.0,,0.1667
t4,Lab-Order Cycle,gpt4o,GPT-4o,few_shot,Few-shot,1.0,3,3,1.0,0.0,,0.0,,0.1667
t4,Lab-Order Cycle,claude,Claude Sonnet,naive,Naive,0.6667,2,3,0.0,0.0,,0.0,,0.13
t4,Lab-Order Cycle,claude,Claude Sonnet,zero_shot,Zero-shot,1.0,3,3,1.0,0.0,,0.0,,0.13
t4,Lab-Order Cycle,claude,Claude Sonnet,schema_aware,Schema-aware,1.0,3,3,1.0,0.0,,0.0,,0.13
t4,Lab-Order Cycle,claude,Claude Sonnet,few_shot,Few-shot,1.0,3,3,1.0,0.0265,,0.0133,,0.13
t4,Lab-Order Cycle,llama3,Llama 3 70B,naive,Naive,0.0,0,3,0.0,0.0,0.0,0.0,,0.1595
t4,Lab-Order Cycle,llama3,Llama 3 70B,zero_shot,Zero-shot,0.3333,1,3,0.3333,0.0,0.0,0.0,,0.1595
t4,Lab-Order Cycle,llama3,Llama 3 70B,schema_aware,Schema-aware,0.0,0,3,0.0,0.0,0.0,0.0,,0.1595
t4,Lab-Order Cycle,llama3,Llama 3 70B,few_shot,Few-shot,0.6667,2,3,0.6667,0.0,0.0,0.0,,0.1595
t5,ED Flow,gpt4o,GPT-4o,naive,Naive,1.0,3,3,0.0,0.0,0.0,0.0,,0.1251
t5,ED Flow,gpt4o,GPT-4o,zero_shot,Zero-shot,1.0,3,3,1.0,0.0005,0.9679,0.0005,,0.1251
t5,ED Flow,gpt4o,GPT-4o,schema_aware,Schema-aware,1.0,3,3,1.0,0.0005,0.9789,0.0005,,0.1251
t5,ED Flow,gpt4o,GPT-4o,few_shot,Few-shot,1.0,3,3,1.0,0.0005,1.0257,0.0005,,0.1251
t5,ED Flow,claude,Claude Sonnet,naive,Naive,0.3333,1,3,0.0,0.0,0.0,0.0,,0.1251
t5,ED Flow,claude,Claude Sonnet,zero_shot,Zero-shot,1.0,3,3,1.0,0.0005,0.9803,0.0005,,0.1251
t5,ED Flow,claude,Claude Sonnet,schema_aware,Schema-aware,1.0,3,3,1.0,0.0005,0.9789,0.0005,,0.1251
t5,ED Flow,claude,Claude Sonnet,few_shot,Few-shot,1.0,3,3,1.0,0.0005,0.9789,0.0005,,0.1251
t5,ED Flow,llama3,Llama 3 70B,naive,Naive,1.0,3,3,0.0,0.0,0.0,0.0,,0.1251
t5,ED Flow,llama3,Llama 3 70B,zero_shot,Zero-shot,1.0,3,3,1.0,0.0005,4.475,0.0005,,0.1251
t5,ED Flow,llama3,Llama 3 70B,schema_aware,Schema-aware,1.0,3,3,1.0,0.0005,0.9789,0.0005,,0.1251
t5,ED Flow,llama3,Llama 3 70B,few_shot,Few-shot,1.0,3,3,1.0,0.0005,0.9789,0.0005,,0.1251
t6,Diagnosis Pathway,gpt4o,GPT-4o,naive,Naive,0.6667,2,3,0.2151,0.0,0.0043,0.0,,0.3311
t6,Diagnosis Pathway,gpt4o,GPT-4o,zero_shot,Zero-shot,1.0,3,3,1.0,0.0011,4.1288,0.0004,,0.3311
t6,Diagnosis Pathway,gpt4o,GPT-4o,schema_aware,Schema-aware,1.0,3,3,1.0,0.0011,4.1288,0.0004,,0.3311
t6,Diagnosis Pathway,gpt4o,GPT-4o,few_shot,Few-shot,1.0,3,3,1.0,1.0,4.1288,0.5321,,0.3311
t6,Diagnosis Pathway,claude,Claude Sonnet,naive,Naive,1.0,3,3,0.0,0.0,0.0202,0.0,,0.375
t6,Diagnosis Pathway,claude,Claude Sonnet,zero_shot,Zero-shot,1.0,3,3,1.0,1.0,1.0,1.0,,0.375
t6,Diagnosis Pathway,claude,Claude Sonnet,schema_aware,Schema-aware,1.0,3,3,1.0,1.0,1.0,1.0,,0.375
t6,Diagnosis Pathway,claude,Claude Sonnet,few_shot,Few-shot,1.0,3,3,1.0,1.0,1.0,1.0,,0.375
t6,Diagnosis Pathway,llama3,Llama 3 70B,naive,Naive,0.0,0,3,0.0,0.0,0.0,0.0,,0.4414
t6,Diagnosis Pathway,llama3,Llama 3 70B,zero_shot,Zero-shot,1.0,3,3,1.0,0.0011,1.0,0.0006,,0.4414
t6,Diagnosis Pathway,llama3,Llama 3 70B,schema_aware,Schema-aware,1.0,3,3,1.0,0.0011,2.0429,0.0005,,0.4414
t6,Diagnosis Pathway,llama3,Llama 3 70B,few_shot,Few-shot,1.0,3,3,1.0,1.0,4.1288,0.5321,,0.4414
